"id","corporate_num","name","postal_code","address","prefecture_name","city_name","president_name","capital","employees","established_date","listed","facebook_url","twitter_url","president_phone_number","web_url","created_at","updated_at","phone_number","industry_code","is_reflected"
1,1060001005330,"株式会社　インターセック",,"栃木県宇都宮市ゆいの杜5-10-13_","栃木県","宇都宮市","水沼　孝夫",,,"1992-06-01",,,,,"http://security-intersec.com","2020-04-30 20:34:07.294444","2020-05-02 16:10:06.035651","028-667-9650",,1
2,2060001027811,"株式会社アルレクス",,"栃木県栃木市新井町251-2_","栃木県","栃木市","関口尚孝",900,,"2015-12-17",,,,,"http://allex.jp","2020-04-30 20:34:07.30209","2020-05-02 16:10:06.101084","0282-24-1975",,1
3,2060001012078,"株式会社　バンテック（ＶＡＮＴＥＣ）",,"栃木県那須塩原市三区町563-1_","栃木県","那須塩原市","鈴木　和芳",3000,,"1992-07-31",,,,,"http://www.vantec-jp.com","2020-04-30 20:34:07.306203","2020-05-02 16:10:06.150532","0287-36-3398",,1
4,5120001013109,"東洋ビューティ株式会社",,"栃木県芳賀郡芳賀町芳賀台38-5_","栃木県","芳賀郡芳賀町",,4500,,"1941-07-10",,,,,"http://www.toyobeauty.co.jp/","2020-04-30 20:34:07.310143","2020-05-02 16:10:06.178716",,,1
5,2060001021145,"東石物産　株式会社",,"栃木県佐野市山菅町3518_","栃木県","佐野市","菊池　宏行",1000,22,"2006-12-01",,,,,"http://toseki.com","2020-04-30 20:34:07.313252","2020-05-02 16:10:06.208468",,,1
6,8060001009457,"松本建設　株式会社",,"栃木県真岡市並木町2-21-1_","栃木県","真岡市","松本　敬介",2000,47,"1958-02-06",,,,,"https://matsuken.net/","2020-04-30 20:34:07.31658","2020-05-02 16:10:06.230894","0285-82-3385",,1
7,9060001004077,"株式会社ホンダベルノ栃木中",,"栃木県宇都宮市台新田1-1-37_","栃木県","宇都宮市","石川　安男",5000,78,"1978-11-16",,,,,"http://wwwhondacars-tochiginaka.co.jp/","2020-04-30 20:34:07.319654","2020-05-02 16:10:06.252794","028-645-2621",,1
8,6060002011884,"カテル　有限会社",,"栃木県宇都宮市中央本町4-23_","栃木県","宇都宮市","渡邉 博昭",1000,63,"2004-09-17",,,,,"https://www.caters.co.jp/","2020-04-30 20:34:07.322765","2020-05-02 16:10:06.294067","028-666-6666",,1
9,5060001004592,"株式会社ユーユーワールド",,"栃木県宇都宮市平出工業団地39-5_","栃木県","宇都宮市",,5000,,"1994-07-14",,,,,"http://yuuyuuworld.com/","2020-04-30 20:34:07.32671","2020-05-02 16:10:06.313358","028-664-3007",,1
10,5060001004592,"株式会社ユーユーワールド",,"栃木県宇都宮市平出工業団地39-5_","栃木県","宇都宮市",,5000,,"1994-07-14",,,,,"http://yuuyuuworld.com/","2020-04-30 20:34:07.330856","2020-05-02 16:10:06.358977","028-664-3007",,1
11,6060001016496,"栃木精工株式会社",,"栃木県栃木市平柳町2-1-5_","栃木県","栃木市","川嶋大樹",10000,,"1952-06-30",,,,,"http://www.tochigiseiko.co.jp/index.html","2020-04-30 20:34:07.334764","2020-05-02 16:10:06.400328","0282-27-1133",,1
12,106000500357,"鹿沼商工会議所",,"栃木県鹿沼市睦町287-16_","栃木県","鹿沼市",,,,"1946-11-22",,,,,"http://www.kanumacci.org/","2020-04-30 20:34:07.337866","2020-05-02 16:10:06.452548","0289-65-1111",,1
13,9060001016642,"丸三産業　株式会社",,"栃木県栃木市野中町912_","栃木県","栃木市","中島　喜代典",5000,42,"1950-10-03",,,,,"http://www.cc9.ne.jp/~marusan/","2020-04-30 20:34:07.341219","2020-05-02 16:10:06.47658","0282-24-8803",,1
14,8060001005084,"エス・トータルサポート株式会社",,"栃木県宇都宮市東宿郷4-42-24センターズ・ビルディング９階","栃木県","宇都宮市","佐藤功",3000,40,"1995-12-12",,,,,"http://www.sts-japan.co.jp","2020-04-30 20:34:07.347731","2020-05-02 16:10:06.514402","03-638-4371",,1
15,4060002021860,"株式会社アルファ",,"栃木県那須塩原市若葉町2-15_","栃木県","那須塩原市","小野　安正",1000,280,"1991-10-01",,,,,"https://www.alpjob.net/","2020-04-30 20:34:07.352121","2020-05-02 16:10:06.545271","0120-888-979",,1
16,2220001012747,"株式会社オンワード技研",,"石川県能美市吉原町ワ13_","石川県","能美市","川畠　丈志",4000,,"1976-07-31",,,,,"http://onwardgiken.jp/contents/","2020-04-30 20:34:07.356613","2020-05-02 16:10:06.566914","0285-80-5035",,1
